"","GEOID","NAME","variable","estimate","moe"
"185","270530213003","Block Group 3; Census Tract 213; Hennepin County; Minnesota","median_income",123625,62881
"186","270530213004","Block Group 4; Census Tract 213; Hennepin County; Minnesota","median_income",81813,16980
"187","270530214001","Block Group 1; Census Tract 214; Hennepin County; Minnesota","median_income",101750,12664
"188","270530214002","Block Group 2; Census Tract 214; Hennepin County; Minnesota","median_income",76250,16453
"189","270530214003","Block Group 3; Census Tract 214; Hennepin County; Minnesota","median_income",38237,9633
"190","270530215011","Block Group 1; Census Tract 215.01; Hennepin County; Minnesota","median_income",43704,9036
"191","270530215012","Block Group 2; Census Tract 215.01; Hennepin County; Minnesota","median_income",105147,16149
"192","270530215013","Block Group 3; Census Tract 215.01; Hennepin County; Minnesota","median_income",108125,62248
"193","270530215021","Block Group 1; Census Tract 215.02; Hennepin County; Minnesota","median_income",65714,13258
"194","270530215022","Block Group 2; Census Tract 215.02; Hennepin County; Minnesota","median_income",26250,8767
"195","270530215023","Block Group 3; Census Tract 215.02; Hennepin County; Minnesota","median_income",47813,8612
"196","270530215031","Block Group 1; Census Tract 215.03; Hennepin County; Minnesota","median_income",34714,10635
"197","270530215032","Block Group 2; Census Tract 215.03; Hennepin County; Minnesota","median_income",76750,68219
"198","270530215033","Block Group 3; Census Tract 215.03; Hennepin County; Minnesota","median_income",50781,25287
"199","270530215034","Block Group 4; Census Tract 215.03; Hennepin County; Minnesota","median_income",NA,NA
"200","270530215035","Block Group 5; Census Tract 215.03; Hennepin County; Minnesota","median_income",120156,60626
"201","270530215041","Block Group 1; Census Tract 215.04; Hennepin County; Minnesota","median_income",45863,8183
"202","270530215042","Block Group 2; Census Tract 215.04; Hennepin County; Minnesota","median_income",69850,28142
"203","270530215043","Block Group 3; Census Tract 215.04; Hennepin County; Minnesota","median_income",90489,37210
"204","270530215044","Block Group 4; Census Tract 215.04; Hennepin County; Minnesota","median_income",120885,27633
"205","270530215051","Block Group 1; Census Tract 215.05; Hennepin County; Minnesota","median_income",99875,25149
"206","270530215052","Block Group 2; Census Tract 215.05; Hennepin County; Minnesota","median_income",116146,63196
"207","270530215053","Block Group 3; Census Tract 215.05; Hennepin County; Minnesota","median_income",83173,33267
"208","270530215054","Block Group 4; Census Tract 215.05; Hennepin County; Minnesota","median_income",64194,6659
"209","270530216011","Block Group 1; Census Tract 216.01; Hennepin County; Minnesota","median_income",84688,74490
"210","270530216012","Block Group 2; Census Tract 216.01; Hennepin County; Minnesota","median_income",79519,23544
"211","270530216013","Block Group 3; Census Tract 216.01; Hennepin County; Minnesota","median_income",70147,10754
"212","270530216014","Block Group 4; Census Tract 216.01; Hennepin County; Minnesota","median_income",121250,33724
"213","270530216021","Block Group 1; Census Tract 216.02; Hennepin County; Minnesota","median_income",62750,28898
"214","270530216022","Block Group 2; Census Tract 216.02; Hennepin County; Minnesota","median_income",NA,NA
"215","270530216023","Block Group 3; Census Tract 216.02; Hennepin County; Minnesota","median_income",59803,56786
"216","270530216024","Block Group 4; Census Tract 216.02; Hennepin County; Minnesota","median_income",144727,18243
"217","270530216025","Block Group 5; Census Tract 216.02; Hennepin County; Minnesota","median_income",64655,11945
"218","270530216026","Block Group 6; Census Tract 216.02; Hennepin County; Minnesota","median_income",NA,NA
"219","270530217001","Block Group 1; Census Tract 217; Hennepin County; Minnesota","median_income",171923,90451
"220","270530217002","Block Group 2; Census Tract 217; Hennepin County; Minnesota","median_income",119655,45852
"221","270530217003","Block Group 3; Census Tract 217; Hennepin County; Minnesota","median_income",209770,65052
"222","270530217004","Block Group 4; Census Tract 217; Hennepin County; Minnesota","median_income",78977,41174
"223","270530217005","Block Group 5; Census Tract 217; Hennepin County; Minnesota","median_income",142045,6376
"224","270530218001","Block Group 1; Census Tract 218; Hennepin County; Minnesota","median_income",74188,30183
